seed,sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,converged,convergenceTime,victimsFound
1,100.0,12,50.0,0.5,1.0,true,43.947747481598114,5
1,100.0,12,50.0,1.0,1.0,true,43.947747481598114,5
1,100.0,12,50.0,1.5,1.0,true,43.947747481598114,5
1,100.0,12,50.0,2.0,1.0,true,43.947747481598114,5
1,100.0,12,50.0,2.5,1.0,true,43.947747481598114,5
1,100.0,12,50.0,0.5,1.5,true,43.947747481598114,5
1,100.0,12,50.0,1.0,1.5,true,43.947747481598114,5
1,100.0,12,50.0,1.5,1.5,true,43.947747481598114,5
1,100.0,12,50.0,2.0,1.5,true,43.947747481598114,5
1,100.0,12,50.0,2.5,1.5,true,43.947747481598114,5
1,100.0,12,50.0,0.5,2.0,true,43.947747481598114,5
1,100.0,12,50.0,1.0,2.0,true,43.947747481598114,5
1,100.0,12,50.0,1.5,2.0,true,43.947747481598114,5
1,100.0,12,50.0,2.0,2.0,true,43.947747481598114,5
1,100.0,12,50.0,2.5,2.0,true,43.947747481598114,5
1,100.0,12,50.0,0.5,2.5,true,43.947747481598114,5
1,100.0,12,50.0,1.0,2.5,true,43.947747481598114,5
1,100.0,12,50.0,1.5,2.5,true,43.947747481598114,5
1,100.0,12,50.0,2.0,2.5,true,43.947747481598114,5
1,100.0,12,50.0,2.5,2.5,true,43.947747481598114,5
1,100.0,12,50.0,0.5,3.0,true,43.947747481598114,5
1,100.0,12,50.0,1.0,3.0,true,43.947747481598114,5
1,100.0,12,50.0,1.5,3.0,true,43.947747481598114,5
1,100.0,12,50.0,2.0,3.0,true,43.947747481598114,5
1,100.0,12,50.0,2.5,3.0,true,43.947747481598114,5
1,100.0,12,50.0,0.5,3.5,true,43.947747481598114,5
1,100.0,12,50.0,1.0,3.5,true,43.947747481598114,5
1,100.0,12,50.0,1.5,3.5,true,43.947747481598114,5
1,100.0,12,50.0,2.0,3.5,true,43.947747481598114,5
1,100.0,12,50.0,2.5,3.5,true,43.947747481598114,5
1,100.0,12,50.0,0.5,4.0,true,43.947747481598114,5
1,100.0,12,50.0,1.0,4.0,true,43.947747481598114,5
1,100.0,12,50.0,1.5,4.0,true,43.947747481598114,5
1,100.0,12,50.0,2.0,4.0,true,43.947747481598114,5
1,100.0,12,50.0,2.5,4.0,true,43.947747481598114,5
1,100.0,18,50.0,0.5,1.0,true,44.26880799016105,5
1,100.0,18,50.0,1.0,1.0,true,44.26880799016105,5
1,100.0,18,50.0,1.5,1.0,true,44.26880799016105,5
1,100.0,18,50.0,2.0,1.0,true,44.26880799016105,5
1,100.0,18,50.0,2.5,1.0,true,44.26880799016105,5
1,100.0,18,50.0,0.5,1.5,true,49.0,5
1,100.0,18,50.0,1.0,1.5,true,49.0,5
1,100.0,18,50.0,1.5,1.5,true,49.0,5
1,100.0,18,50.0,2.0,1.5,true,49.0,5
1,100.0,18,50.0,2.5,1.5,true,49.0,5
