seed,sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,converged,convergenceTime,victimsFound
41,100.0,20,100.0,1.0,2.0,true,46.74227683430648,5
41,100.0,30,50.0,1.5,1.5,false,NaN,2
41,100.0,20,100.0,1.5,2.0,true,46.74227683430648,5
41,100.0,30,50.0,1.0,2.0,false,NaN,1
41,100.0,20,100.0,2.0,2.0,true,46.74227683430648,5
41,100.0,25,100.0,2.0,1.0,true,47.73175720280938,5
41,100.0,25,100.0,1.0,1.5,true,47.73175720280938,5
41,100.0,25,100.0,1.0,1.0,true,47.73175720280938,5
41,100.0,20,100.0,1.0,1.0,false,NaN,4
41,100.0,25,100.0,1.5,1.0,true,47.73175720280938,5
41,100.0,25,100.0,2.0,1.5,true,47.73175720280938,5
41,100.0,25,100.0,1.5,1.5,true,47.73175720280938,5
41,100.0,25,100.0,2.0,2.0,true,47.73175720280938,5
41,100.0,25,100.0,1.0,2.0,true,47.73175720280938,5
41,100.0,25,100.0,1.5,2.0,true,47.73175720280938,5
41,100.0,30,100.0,1.0,1.0,true,56.14982969034939,5
41,100.0,30,100.0,1.5,1.0,true,55.87605408783583,5
41,100.0,30,100.0,1.0,1.5,true,61.25971596405235,5
41,100.0,30,100.0,2.0,1.0,true,64.18948022883542,5
41,100.0,30,100.0,1.5,1.5,true,86.75979384621208,5
41,100.0,30,100.0,2.0,1.5,true,86.75979384621208,5
41,100.0,30,100.0,2.0,2.0,true,72.43595955684945,5
41,100.0,20,150.0,1.0,1.0,true,91.39282658147395,5
41,100.0,30,100.0,1.0,2.0,false,NaN,4
41,100.0,20,150.0,1.0,1.5,true,91.39282658147395,5
41,100.0,20,150.0,2.0,1.0,false,NaN,2
41,100.0,30,100.0,1.5,2.0,false,NaN,4
41,100.0,20,150.0,1.5,1.0,false,NaN,2
41,100.0,20,150.0,1.0,2.0,true,91.39282658147395,5
41,100.0,20,150.0,2.0,1.5,false,NaN,3
41,100.0,20,150.0,1.5,1.5,false,NaN,3
41,100.0,20,150.0,1.5,2.0,false,NaN,3
41,100.0,25,150.0,1.0,1.0,true,90.74996813267528,5
41,100.0,25,150.0,1.5,1.0,true,96.12502110525101,5
41,100.0,25,150.0,1.0,1.5,true,90.94988288370557,5
41,100.0,25,150.0,2.0,1.0,false,NaN,2
41,100.0,20,150.0,2.0,2.0,false,NaN,4
41,100.0,25,150.0,2.0,1.5,true,90.10292768006825,5
41,100.0,25,150.0,1.5,1.5,true,90.10292768006825,5
41,100.0,25,150.0,2.0,2.0,true,90.10292768006825,5
41,100.0,25,150.0,1.0,2.0,false,NaN,4
41,100.0,25,150.0,1.5,2.0,true,90.10292768006825,5
41,100.0,30,150.0,1.0,1.0,false,NaN,3
41,100.0,30,150.0,1.5,1.5,false,NaN,4
41,100.0,30,150.0,1.5,1.0,false,NaN,4
41,100.0,30,150.0,1.0,1.5,false,NaN,3
41,100.0,30,150.0,2.0,1.5,false,NaN,4
41,100.0,30,150.0,2.0,1.0,false,NaN,4
41,100.0,30,150.0,1.0,2.0,false,NaN,4
42,100.0,20,50.0,1.5,1.0,false,NaN,3
41,100.0,30,150.0,1.5,2.0,false,NaN,4
42,100.0,20,50.0,1.0,1.0,false,NaN,3
42,100.0,20,50.0,1.0,1.5,false,NaN,3
41,100.0,30,150.0,2.0,2.0,false,NaN,4
42,100.0,20,50.0,2.0,1.0,false,NaN,2
42,100.0,20,50.0,2.0,1.5,false,NaN,4
42,100.0,20,50.0,1.0,2.0,false,NaN,2
42,100.0,20,50.0,2.0,2.0,true,93.85809477854514,5
42,100.0,25,50.0,1.0,1.0,false,NaN,4
42,100.0,20,50.0,1.5,1.5,false,NaN,2
42,100.0,25,50.0,2.0,1.0,false,NaN,4
42,100.0,20,50.0,1.5,2.0,false,NaN,1
42,100.0,25,50.0,2.0,1.5,false,NaN,2
42,100.0,25,50.0,1.0,1.5,false,NaN,3
42,100.0,25,50.0,1.5,1.5,false,NaN,3
42,100.0,25,50.0,1.0,2.0,false,NaN,2
42,100.0,25,50.0,2.0,2.0,false,NaN,3
42,100.0,30,50.0,1.0,1.0,false,NaN,3
42,100.0,25,50.0,1.5,1.0,false,NaN,3
42,100.0,30,50.0,2.0,1.0,false,NaN,3
42,100.0,30,50.0,1.5,1.0,false,NaN,3
42,100.0,20,100.0,1.5,1.0,true,37.104732803325234,5
42,100.0,20,100.0,2.0,1.0,true,37.104732803325234,5
42,100.0,25,50.0,1.5,2.0,false,NaN,3
42,100.0,20,100.0,1.0,1.0,true,58.41908508312183,5
42,100.0,30,50.0,1.0,1.5,false,NaN,1
42,100.0,30,50.0,2.0,1.5,false,NaN,3
42,100.0,30,50.0,1.0,2.0,true,89.06299754329696,5
42,100.0,20,100.0,1.0,1.5,true,62.93895287986326,5
42,100.0,30,50.0,2.0,2.0,false,NaN,4
42,100.0,30,50.0,1.5,2.0,false,NaN,4
42,100.0,30,50.0,1.5,1.5,false,NaN,2
42,100.0,25,100.0,1.0,1.0,true,47.770785940117726,5
42,100.0,20,100.0,1.5,2.0,false,NaN,2
42,100.0,20,100.0,1.0,2.0,false,NaN,3
42,100.0,20,100.0,2.0,1.5,false,NaN,2
42,100.0,20,100.0,2.0,2.0,false,NaN,2
42,100.0,25,100.0,2.0,1.0,false,NaN,4
42,100.0,20,100.0,1.5,1.5,false,NaN,2
42,100.0,25,100.0,1.0,1.5,false,NaN,4
42,100.0,30,100.0,1.5,1.0,true,44.1559652012468,5
42,100.0,30,100.0,2.0,1.0,true,44.1559652012468,5
42,100.0,30,100.0,1.0,1.5,true,44.1559652012468,5
42,100.0,25,100.0,1.5,1.0,false,NaN,4
42,100.0,30,100.0,1.5,1.5,true,44.1559652012468,5
42,100.0,25,100.0,2.0,1.5,false,NaN,4
42,100.0,25,100.0,1.5,1.5,false,NaN,4
42,100.0,25,100.0,1.0,2.0,false,NaN,4
42,100.0,25,100.0,1.5,2.0,false,NaN,4
42,100.0,30,100.0,2.0,1.5,true,44.1559652012468,5
42,100.0,30,100.0,1.0,2.0,true,44.1559652012468,5
42,100.0,30,100.0,1.5,2.0,true,44.1559652012468,5
42,100.0,30,100.0,2.0,2.0,true,44.1559652012468,5
42,100.0,20,150.0,1.0,1.5,true,47.40114271657211,5
42,100.0,20,150.0,1.5,1.0,true,47.40114271657211,5
42,100.0,25,100.0,2.0,2.0,false,NaN,4
42,100.0,20,150.0,1.0,2.0,true,47.40114271657211,5
42,100.0,20,150.0,2.0,1.0,true,47.40114271657211,5
42,100.0,20,150.0,1.5,1.5,true,47.40114271657211,5
42,100.0,20,150.0,1.5,2.0,true,47.40114271657211,5
42,100.0,20,150.0,2.0,1.5,true,47.40114271657211,5
42,100.0,20,150.0,1.0,1.0,true,70.42533639282452,5
42,100.0,20,150.0,2.0,2.0,true,47.40114271657211,5
