seed,sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,victimIdx,uavIdx,foundTime,x,y
40,100.0,30,50.0,2.0,1.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,30,50.0,1.0,1.5,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,30,50.0,1.0,1.5,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,30,50.0,1.5,1.5,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,30,50.0,1.5,1.5,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,30,50.0,2.0,1.5,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,25,50.0,1.5,1.5,4,0,91.17396769047164,459.33607136727795,411.8215105565725
40,100.0,30,50.0,2.0,1.5,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,30,50.0,1.0,2.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,30,50.0,1.0,2.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,30,50.0,2.0,1.0,1,0,17.034799888158023,507.078922744844,189.28912608156344
40,100.0,30,50.0,2.0,2.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,30,50.0,2.0,2.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,30,50.0,1.0,1.5,1,0,19.001876150243415,507.078922744844,189.28912608156344
40,100.0,30,50.0,1.5,2.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,30,50.0,1.5,2.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,20,100.0,1.0,1.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,1.5,1.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,2.0,1.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,30,50.0,1.0,2.0,1,0,19.001876150243415,507.078922744844,189.28912608156344
40,100.0,30,50.0,2.0,1.5,3,0,21.76872267348169,498.79533806064467,183.5757899808681
40,100.0,20,100.0,1.0,1.5,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,1.5,1.5,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,2.0,1.5,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,1.0,2.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,1.0,1.0,0,0,35.72327001902836,463.7091657830143,173.94983411973146
40,100.0,20,100.0,1.0,2.0,0,0,10.000768554341645,463.7091657830143,173.94983411973146
40,100.0,20,100.0,1.0,1.5,0,0,35.72327001902836,463.7091657830143,173.94983411973146
40,100.0,20,100.0,1.5,1.0,0,0,35.72327001902836,463.7091657830143,173.94983411973146
40,100.0,20,100.0,2.0,1.0,1,0,42.087598343653084,507.078922744844,189.28912608156344
40,100.0,30,50.0,1.0,1.5,4,0,74.35121720076691,459.33607136727795,411.8215105565725
40,100.0,20,100.0,2.0,1.0,0,0,49.01297526661656,463.7091657830143,173.94983411973146
40,100.0,20,100.0,1.0,1.5,3,0,52.381719001277,498.79533806064467,183.5757899808681
40,100.0,20,100.0,2.0,1.5,0,0,36.80198070695213,463.7091657830143,173.94983411973146
40,100.0,20,100.0,1.0,1.0,1,0,60.64876983080476,507.078922744844,189.28912608156344
40,100.0,20,100.0,1.5,2.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,1.5,1.5,1,0,42.087598343653084,507.078922744844,189.28912608156344
