seed,sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,converged,convergenceTime,victimsFound
40,100.0,12,50.0,0.5,1.0,false,NaN,3
40,100.0,12,50.0,1.0,1.0,false,NaN,3
40,100.0,12,50.0,1.5,1.0,false,NaN,3
40,100.0,12,50.0,2.0,1.0,false,NaN,3
40,100.0,12,50.0,2.5,1.0,false,NaN,3
40,100.0,12,50.0,0.5,1.5,false,NaN,3
40,100.0,12,50.0,1.0,1.5,false,NaN,4
40,100.0,12,50.0,1.5,1.5,false,NaN,3
40,100.0,12,50.0,2.0,1.5,false,NaN,4
40,100.0,12,50.0,2.5,1.5,false,NaN,4
40,100.0,12,50.0,0.5,2.0,false,NaN,4
40,100.0,12,50.0,1.0,2.0,false,NaN,4
40,100.0,12,50.0,1.5,2.0,false,NaN,3
40,100.0,12,50.0,2.0,2.0,false,NaN,4
40,100.0,12,50.0,2.5,2.0,false,NaN,3
40,100.0,12,50.0,0.5,2.5,false,NaN,3
40,100.0,12,50.0,1.0,2.5,false,NaN,4
40,100.0,12,50.0,1.5,2.5,false,NaN,3
40,100.0,12,50.0,2.0,2.5,false,NaN,4
40,100.0,12,50.0,2.5,2.5,false,NaN,3
40,100.0,12,50.0,0.5,3.0,false,NaN,3
40,100.0,12,50.0,1.0,3.0,false,NaN,3
40,100.0,12,50.0,1.5,3.0,false,NaN,3
40,100.0,12,50.0,2.0,3.0,false,NaN,3
40,100.0,12,50.0,2.5,3.0,false,NaN,3
40,100.0,12,50.0,0.5,3.5,false,NaN,2
40,100.0,12,50.0,1.0,3.5,false,NaN,3
40,100.0,12,50.0,1.5,3.5,false,NaN,4
40,100.0,12,50.0,2.0,3.5,false,NaN,4
40,100.0,12,50.0,2.5,3.5,false,NaN,4
40,100.0,12,50.0,0.5,4.0,false,NaN,3
40,100.0,12,50.0,1.0,4.0,false,NaN,3
40,100.0,12,50.0,1.5,4.0,false,NaN,3
40,100.0,12,50.0,2.0,4.0,false,NaN,3
40,100.0,12,50.0,2.5,4.0,false,NaN,4
40,100.0,18,50.0,0.5,1.0,false,NaN,3
40,100.0,18,50.0,1.0,1.0,false,NaN,3
40,100.0,18,50.0,1.5,1.0,false,NaN,4
40,100.0,18,50.0,2.0,1.0,false,NaN,4
40,100.0,18,50.0,2.5,1.0,false,NaN,4
40,100.0,18,50.0,0.5,1.5,false,NaN,3
40,100.0,18,50.0,1.0,1.5,false,NaN,3
40,100.0,18,50.0,1.5,1.5,false,NaN,3
40,100.0,18,50.0,2.0,1.5,false,NaN,3
40,100.0,18,50.0,2.5,1.5,false,NaN,4
40,100.0,18,50.0,0.5,2.0,false,NaN,3
40,100.0,18,50.0,1.0,2.0,false,NaN,3
40,100.0,18,50.0,1.5,2.0,false,NaN,3
40,100.0,18,50.0,2.0,2.0,false,NaN,3
40,100.0,18,50.0,2.5,2.0,false,NaN,3
40,100.0,18,50.0,0.5,2.5,false,NaN,3
40,100.0,18,50.0,1.0,2.5,false,NaN,3
40,100.0,18,50.0,1.5,2.5,false,NaN,3
40,100.0,18,50.0,2.0,2.5,false,NaN,3
40,100.0,18,50.0,2.5,2.5,false,NaN,2
40,100.0,18,50.0,0.5,3.0,false,NaN,3
40,100.0,18,50.0,1.0,3.0,false,NaN,3
40,100.0,18,50.0,1.5,3.0,false,NaN,3
40,100.0,18,50.0,2.0,3.0,false,NaN,4
40,100.0,18,50.0,2.5,3.0,false,NaN,4
40,100.0,18,50.0,0.5,3.5,false,NaN,3
40,100.0,18,50.0,1.0,3.5,false,NaN,2
40,100.0,18,50.0,1.5,3.5,false,NaN,2
40,100.0,18,50.0,2.0,3.5,false,NaN,2
40,100.0,18,50.0,2.5,3.5,false,NaN,2
40,100.0,18,50.0,0.5,4.0,false,NaN,3
40,100.0,18,50.0,1.0,4.0,false,NaN,3
40,100.0,18,50.0,1.5,4.0,false,NaN,3
40,100.0,18,50.0,2.0,4.0,false,NaN,3
40,100.0,18,50.0,2.5,4.0,false,NaN,4
40,100.0,24,50.0,0.5,1.0,false,NaN,3
40,100.0,24,50.0,1.0,1.0,false,NaN,3
40,100.0,24,50.0,1.5,1.0,false,NaN,4
40,100.0,24,50.0,2.0,1.0,false,NaN,4
40,100.0,24,50.0,2.5,1.0,false,NaN,3
40,100.0,24,50.0,0.5,1.5,false,NaN,3
40,100.0,24,50.0,1.0,1.5,false,NaN,3
40,100.0,24,50.0,1.5,1.5,false,NaN,4
40,100.0,24,50.0,2.0,1.5,false,NaN,2
40,100.0,24,50.0,2.5,1.5,false,NaN,2
40,100.0,24,50.0,0.5,2.0,false,NaN,3
40,100.0,24,50.0,1.0,2.0,false,NaN,2
40,100.0,24,50.0,1.5,2.0,false,NaN,3
40,100.0,24,50.0,2.0,2.0,false,NaN,2
40,100.0,24,50.0,2.5,2.0,false,NaN,3
40,100.0,24,50.0,0.5,2.5,false,NaN,3
40,100.0,24,50.0,1.0,2.5,false,NaN,1
40,100.0,24,50.0,1.5,2.5,false,NaN,3
40,100.0,24,50.0,2.0,2.5,false,NaN,3
40,100.0,24,50.0,2.5,2.5,false,NaN,2
40,100.0,24,50.0,0.5,3.0,false,NaN,1
40,100.0,24,50.0,1.0,3.0,false,NaN,3
40,100.0,24,50.0,1.5,3.0,false,NaN,2
40,100.0,24,50.0,2.0,3.0,false,NaN,3
40,100.0,24,50.0,2.5,3.0,false,NaN,2
40,100.0,24,50.0,0.5,3.5,false,NaN,1
40,100.0,24,50.0,1.0,3.5,false,NaN,2
40,100.0,24,50.0,1.5,3.5,false,NaN,1
40,100.0,24,50.0,2.0,3.5,false,NaN,1
40,100.0,24,50.0,2.5,3.5,false,NaN,2
40,100.0,24,50.0,0.5,4.0,false,NaN,1
40,100.0,24,50.0,1.0,4.0,false,NaN,1
40,100.0,24,50.0,1.5,4.0,false,NaN,2
40,100.0,24,50.0,2.0,4.0,false,NaN,2
40,100.0,24,50.0,2.5,4.0,false,NaN,3
40,100.0,30,50.0,0.5,1.0,false,NaN,3
40,100.0,30,50.0,1.0,1.0,false,NaN,2
40,100.0,30,50.0,1.5,1.0,false,NaN,3
40,100.0,30,50.0,2.0,1.0,false,NaN,3
40,100.0,30,50.0,2.5,1.0,false,NaN,3
40,100.0,30,50.0,0.5,1.5,false,NaN,3
40,100.0,30,50.0,1.0,1.5,false,NaN,4
40,100.0,30,50.0,1.5,1.5,false,NaN,2
40,100.0,30,50.0,2.0,1.5,false,NaN,3
40,100.0,30,50.0,2.5,1.5,false,NaN,3
40,100.0,30,50.0,0.5,2.0,false,NaN,3
40,100.0,30,50.0,1.0,2.0,false,NaN,4
40,100.0,30,50.0,1.5,2.0,false,NaN,3
40,100.0,30,50.0,2.0,2.0,false,NaN,2
40,100.0,30,50.0,2.5,2.0,false,NaN,2
40,100.0,30,50.0,0.5,2.5,false,NaN,3
