sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,n_runs,convergence_rate,mean_ct,std_ct,median_ct,mean_victims
100.0,20,50.0,1.0,1.0,11,0.2727272727272727,87.15188523464707,7.795437921611513,83.22686705118952,3.272727272727273
100.0,20,50.0,1.0,1.5,11,0.09090909090909091,90.1886890345138,,90.1886890345138,3.0
100.0,20,50.0,1.0,2.0,11,0.0,,,,2.4545454545454546
100.0,20,50.0,1.5,1.0,11,0.18181818181818182,93.27016245592537,2.55014148248008,93.27016245592537,3.1818181818181817
100.0,20,50.0,1.5,1.5,11,0.2727272727272727,94.50196881161365,4.15324505030039,92.58283037961654,2.909090909090909
100.0,20,50.0,1.5,2.0,11,0.09090909090909091,70.57993417218901,,70.57993417218901,3.0
100.0,20,50.0,2.0,1.0,11,0.36363636363636365,70.07975308368523,14.602801822866896,69.70354740725568,3.6363636363636362
100.0,20,50.0,2.0,1.5,11,0.0,,,,3.0
100.0,20,50.0,2.0,2.0,11,0.18181818181818182,90.31102770149212,5.016310367015456,90.31102770149212,2.909090909090909
100.0,20,100.0,1.0,1.0,11,0.6363636363636364,61.22771813844205,24.77191415736688,49.74094663207454,4.545454545454546
100.0,20,100.0,1.0,1.5,11,0.45454545454545453,48.955357504842425,17.01212311836285,49.74094663207454,4.2727272727272725
100.0,20,100.0,1.0,2.0,11,0.5454545454545454,48.510731978535794,22.742131719951942,44.11277648367307,4.454545454545454
100.0,20,100.0,1.5,1.0,11,0.5454545454545454,50.03639022110075,13.868075928764053,47.80128585923315,4.454545454545454
100.0,20,100.0,1.5,1.5,11,0.5454545454545454,51.26167738911004,22.677036469062607,45.48300658076519,4.181818181818182
100.0,20,100.0,1.5,2.0,11,0.5454545454545454,48.46769704460515,22.758327922677054,43.98367168188116,4.2727272727272725
100.0,20,100.0,2.0,1.0,11,0.6363636363636364,53.16317408141987,19.068526257161345,49.20914686398119,4.545454545454546
100.0,20,100.0,2.0,1.5,11,0.5454545454545454,48.66075995272755,17.456466325168726,45.48300658076519,4.181818181818182
100.0,20,100.0,2.0,2.0,11,0.5454545454545454,48.46769704460515,22.758327922677054,43.98367168188116,4.2727272727272725
100.0,20,150.0,1.0,1.0,11,0.5454545454545454,59.25159317463482,31.04091006144788,52.28359517880644,4.363636363636363
100.0,20,150.0,1.0,1.5,11,0.45454545454545453,50.94403748895842,23.44071369510427,45.66909620685086,4.454545454545454
100.0,20,150.0,1.0,2.0,11,0.5454545454545454,59.26177420223424,27.91167632239618,46.53511946171149,4.545454545454546
100.0,20,150.0,1.5,1.0,11,0.36363636363636365,35.95144698935129,7.787848949058263,33.010092427288455,4.090909090909091
100.0,20,150.0,1.5,1.5,11,0.45454545454545453,52.19776848427792,26.155420415279963,45.66909620685086,4.363636363636363
100.0,20,150.0,1.5,2.0,11,0.5454545454545454,60.55057036097278,29.806250231740062,46.53511946171149,4.2727272727272725
100.0,20,150.0,2.0,1.0,11,0.36363636363636365,35.95144698935129,7.787848949058263,33.010092427288455,4.090909090909091
100.0,20,150.0,2.0,1.5,11,0.5454545454545454,60.019074325882464,30.2377539524274,46.53511946171149,4.454545454545454
100.0,20,150.0,2.0,2.0,11,0.5454545454545454,60.55057036097278,29.806250231740062,46.53511946171149,4.363636363636363
100.0,25,50.0,1.0,1.0,11,0.09090909090909091,77.80892096307501,,77.80892096307501,3.3636363636363638
100.0,25,50.0,1.0,1.5,11,0.0,,,,3.090909090909091
100.0,25,50.0,1.0,2.0,11,0.18181818181818182,89.06850340061825,10.149029587471249,89.06850340061825,3.3636363636363638
100.0,25,50.0,1.5,1.0,11,0.18181818181818182,64.57573024923073,20.75711786529585,64.57573024923073,3.727272727272727
100.0,25,50.0,1.5,1.5,11,0.09090909090909091,95.88558618511598,,95.88558618511598,2.8181818181818183
