sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,n_runs,convergence_rate,mean_ct,std_ct,median_ct,mean_victims
100.0,12,125.0,1.0,3.5,10,1.0,72.09901050887314,36.22139616575312,61.48029633183296,5.0
100.0,12,125.0,1.0,4.0,10,1.0,72.09882830271417,36.22130497114387,61.48029633183296,5.0
100.0,12,125.0,1.5,1.0,10,1.0,72.3362781041742,17.00381456239645,70.74593376137275,5.0
100.0,12,125.0,1.5,1.5,10,1.0,76.8742156652294,27.385693388409575,75.50948997693553,5.0
100.0,12,125.0,1.5,2.0,10,1.0,73.35067289700434,20.689057031089856,68.89902476565766,5.0
100.0,12,125.0,1.5,2.5,10,1.0,68.23112450785747,22.007652382488374,68.89508457071213,5.0
100.0,12,125.0,1.5,3.0,10,1.0,65.39102235711815,19.824092475155705,68.27805291735643,5.0
100.0,12,125.0,1.5,3.5,10,1.0,70.00786489721213,27.03198040575185,68.27805291735643,5.0
100.0,12,125.0,1.5,4.0,10,1.0,70.00786489721213,27.03198040575185,68.27805291735643,5.0
100.0,12,125.0,2.0,1.0,10,1.0,72.908018640076,17.839702439301835,70.74593376137275,5.0
100.0,12,125.0,2.0,1.5,10,1.0,78.2793036389369,31.73893259918177,74.7941425893542,5.0
100.0,12,125.0,2.0,2.0,10,1.0,80.92771530137924,33.85661310344158,68.89902476565766,5.0
100.0,12,125.0,2.0,2.5,10,1.0,68.9028400468496,22.79520902503183,68.89508457071213,5.0
100.0,12,125.0,2.0,3.0,10,1.0,66.09278109567967,20.828603564671077,68.27805291735643,5.0
100.0,12,125.0,2.0,3.5,10,1.0,66.1108989471347,20.83912691338404,68.27805291735643,5.0
100.0,12,125.0,2.0,4.0,10,1.0,66.11982884069877,20.83886549992448,68.32270238517683,5.0
100.0,12,125.0,2.5,1.0,10,1.0,73.32048156244551,18.350581464043806,70.74593376137275,5.0
100.0,12,125.0,2.5,1.5,10,1.0,79.0171395951159,31.447015049505577,75.50948997693553,5.0
100.0,12,125.0,2.5,2.0,10,1.0,75.64222537493548,23.067829226559038,68.89902476565766,5.0
100.0,12,125.0,2.5,2.5,10,1.0,68.9028400468496,22.79520902503183,68.89508457071213,5.0
100.0,12,125.0,2.5,3.0,10,1.0,66.09278109567967,20.828603564671077,68.27805291735643,5.0
100.0,12,125.0,2.5,3.5,10,1.0,66.11431976915705,20.830435429100955,68.32270238517683,5.0
100.0,12,125.0,2.5,4.0,10,1.0,66.11431976915705,20.830435429100955,68.32270238517683,5.0
100.0,12,150.0,0.5,1.0,10,1.0,70.01083367587475,18.312287868135613,70.56997820229554,5.0
100.0,12,150.0,0.5,1.5,10,1.0,82.87307593328856,32.152484934471204,75.45424161614957,5.0
100.0,12,150.0,0.5,2.0,10,1.0,80.2590491778772,30.123104755281876,75.44637019885717,5.0
100.0,12,150.0,0.5,2.5,10,1.0,84.87568407672282,28.13438031179821,82.47591238430093,5.0
100.0,12,150.0,0.5,3.0,10,1.0,74.64648167260738,28.710315705329414,64.37745179186021,5.0
100.0,12,150.0,0.5,3.5,10,1.0,67.45654667290492,19.40214545115297,62.949941305981824,5.0
100.0,12,150.0,0.5,4.0,10,1.0,67.44242710410592,19.369177323881225,62.949941305981824,5.0
100.0,12,150.0,1.0,1.0,10,1.0,74.29750308016068,19.8127789141028,75.21817258117919,5.0
100.0,12,150.0,1.0,1.5,10,1.0,75.57061967283478,28.314547675761624,68.55957565016061,5.0
100.0,12,150.0,1.0,2.0,10,0.9,75.00775458659773,30.601450115944306,65.20328372392413,4.9
100.0,12,150.0,1.0,2.5,10,0.9,68.0129968152999,20.314280240239675,64.15481226628411,4.9
100.0,12,150.0,1.0,3.0,10,0.9,63.02705079106526,13.713964857652044,63.70782523452617,4.9
100.0,12,150.0,1.0,3.5,10,1.0,67.38035406731285,19.269661130908094,63.045461078192886,5.0
100.0,12,150.0,1.0,4.0,10,1.0,67.44242710410592,19.369177323881225,62.949941305981824,5.0
100.0,12,150.0,1.5,1.0,10,1.0,79.48668630937226,30.412841516108227,75.21029788271956,5.0
100.0,12,150.0,1.5,1.5,10,1.0,74.65497048412163,27.18158848737288,68.55957565016061,5.0
100.0,12,150.0,1.5,2.0,10,0.9,64.26675941036666,14.04101802706148,64.15481226628411,4.9
100.0,12,150.0,1.5,2.5,10,1.0,67.54360118468932,19.345355469142433,63.55698239497724,5.0
100.0,12,150.0,1.5,3.0,10,1.0,63.056249762878146,13.130349223262083,63.04341135081803,5.0
100.0,12,150.0,1.5,3.5,10,1.0,63.078185659706605,13.107399538313816,63.045461078192886,5.0
100.0,12,150.0,1.5,4.0,10,1.0,69.42463874359319,24.28502628736181,63.045461078192886,5.0
100.0,12,150.0,2.0,1.0,10,1.0,77.94538921168194,26.958324676687553,75.21029788271956,5.0
100.0,12,150.0,2.0,1.5,10,1.0,76.70689082452375,32.70756250015519,68.55957565016061,5.0
100.0,12,150.0,2.0,2.0,10,1.0,70.71949751041555,24.377359941035163,64.67904799510413,5.0
100.0,12,150.0,2.0,2.5,10,1.0,67.54360118468932,19.345355469142433,63.55698239497724,5.0
100.0,12,150.0,2.0,3.0,10,1.0,63.056249762878146,13.130349223262083,63.04341135081803,5.0
100.0,12,150.0,2.0,3.5,10,1.0,63.078185659706605,13.107399538313816,63.045461078192886,5.0
100.0,12,150.0,2.0,4.0,10,1.0,64.83342033373451,14.380953219108575,63.045461078192886,5.0
100.0,12,150.0,2.5,1.0,10,1.0,78.03850508899528,27.037369184040667,75.21029788271956,5.0
100.0,12,150.0,2.5,1.5,10,1.0,74.68925603843883,27.221888050953808,68.55957565016061,5.0
100.0,12,150.0,2.5,2.0,10,1.0,65.022244922721,13.465753275654587,64.67904799510413,5.0
100.0,12,150.0,2.5,2.5,10,1.0,67.54360118468932,19.345355469142433,63.55698239497724,5.0
100.0,12,150.0,2.5,3.0,10,1.0,63.03427862610802,13.129321575194826,62.93355566696738,5.0
100.0,12,150.0,2.5,3.5,10,1.0,63.078185659706605,13.107399538313816,63.045461078192886,5.0
100.0,12,150.0,2.5,4.0,10,1.0,64.83342033373451,14.380953219108575,63.045461078192886,5.0
100.0,18,50.0,0.5,1.0,10,0.9,56.61718436342704,18.139669694098743,52.87307673400056,4.8
100.0,18,50.0,0.5,1.5,10,0.8,62.3060401494248,29.56171511231933,51.67014132727276,4.4
100.0,18,50.0,0.5,2.0,10,0.7,50.932781133960944,9.893517857228657,51.60964496278112,4.4
100.0,18,50.0,0.5,2.5,10,0.7,55.551819762435606,18.28684405917569,51.60260606075288,4.3
100.0,18,50.0,0.5,3.0,10,0.7,57.557024887452386,19.099130726708392,57.560793779041774,4.3
100.0,18,50.0,0.5,3.5,10,0.7,55.248652683368434,13.744562868658495,57.560793779041774,4.3
100.0,18,50.0,0.5,4.0,10,0.7,51.86565365057762,10.727620369597897,51.427490339708825,3.9
100.0,18,50.0,1.0,1.0,10,0.9,58.80160603328372,23.418335358979956,51.60436736947005,4.8
100.0,18,50.0,1.0,1.5,10,0.8,50.09383441978488,12.440217231998112,50.00868907163021,4.7
100.0,18,50.0,1.0,2.0,10,0.8,56.870548913781356,25.73612928666067,52.775860050472374,4.7
100.0,18,50.0,1.0,2.5,10,0.7,55.347780841137016,15.814410969694249,56.55172010094475,4.6
100.0,18,50.0,1.0,3.0,10,0.7,56.23707789861771,19.80208189163514,51.63616630112575,4.4
100.0,18,50.0,1.0,3.5,10,0.8,67.44553554186186,38.546320724147115,55.84611218453542,4.4
100.0,18,50.0,1.0,4.0,10,0.7,64.594760673379,38.58578343083274,51.43020497662376,4.3
100.0,18,50.0,1.5,1.0,10,0.9,49.902794703736674,10.217643286962241,51.44202166255356,4.8
100.0,18,50.0,1.5,1.5,10,0.8,49.866514204380394,11.120242766569024,50.30164569961026,4.7
100.0,18,50.0,1.5,2.0,10,1.0,57.70873674085193,14.779401787324751,59.472523398135834,5.0
100.0,18,50.0,1.5,2.5,10,0.9,66.52313085331156,23.452905731785357,60.364790024950025,4.8
100.0,18,50.0,1.5,3.0,10,0.7,55.650285396238324,12.93826657976224,60.364790024950025,4.6
100.0,18,50.0,1.5,3.5,10,0.7,60.89827794745329,25.29372019313782,60.364790024950025,4.4
100.0,18,50.0,1.5,4.0,10,0.6,50.526287504470986,10.797217594623682,51.215102488311885,4.2
100.0,18,50.0,2.0,1.0,10,0.9,53.95151628523953,16.934769972516705,51.55425355286946,4.8
100.0,18,50.0,2.0,1.5,10,0.8,52.442418115944115,13.455078369178414,52.5,4.7
100.0,18,50.0,2.0,2.0,10,0.9,67.27470068625968,38.73735616241013,56.57925336742351,4.8
100.0,18,50.0,2.0,2.5,10,0.8,64.49233205183423,31.19937061712161,58.0490984972252,4.5
100.0,18,50.0,2.0,3.0,10,0.7,52.98365126234636,10.348020200162429,56.57925336742351,4.3
