seed,sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,victimIdx,uavIdx,foundTime,x,y
1,100.0,24,25.0,1.0,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,24,25.0,1.0,1.0,4,0,30.780219567355243,288.49165935031635,293.5621426431181
1,100.0,24,25.0,1.0,1.0,0,0,36.88535346033043,302.86325509846256,238.61766516153418
1,100.0,24,25.0,1.0,1.0,1,0,40.90957782055888,227.24405123647392,244.90146385900422
1,100.0,24,50.0,1.0,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,24,50.0,1.0,1.0,3,1,22.42096491249253,647.3896035919422,200.03993772800365
1,100.0,24,50.0,1.0,1.0,4,0,30.779881170684593,288.49165935031635,293.5621426431181
1,100.0,24,50.0,1.0,1.0,1,0,39.35304072448144,227.24405123647392,244.90146385900422
1,100.0,24,50.0,1.0,1.0,0,0,43.47787649911838,302.86325509846256,238.61766516153418
1,100.0,24,75.0,1.0,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,24,75.0,1.0,1.0,3,1,23.921333688825946,647.3896035919422,200.03993772800365
1,100.0,24,75.0,1.0,1.0,4,0,30.878316390594666,288.49165935031635,293.5621426431181
1,100.0,24,75.0,1.0,1.0,0,0,34.9959490019559,302.86325509846256,238.61766516153418
1,100.0,24,75.0,1.0,1.0,1,0,41.98187317894411,227.24405123647392,244.90146385900422
1,100.0,24,100.0,1.0,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,24,100.0,1.0,1.0,4,0,31.0,288.49165935031635,293.5621426431181
1,100.0,24,100.0,1.0,1.0,3,1,32.198286254962994,647.3896035919422,200.03993772800365
1,100.0,24,100.0,1.0,1.0,0,0,51.0,302.86325509846256,238.61766516153418
1,100.0,24,100.0,1.0,1.0,1,0,54.867232758967496,227.24405123647392,244.90146385900422
1,100.0,24,125.0,1.0,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,24,125.0,1.0,1.0,4,0,31.0,288.49165935031635,293.5621426431181
1,100.0,24,125.0,1.0,1.0,3,1,33.2091985346585,647.3896035919422,200.03993772800365
1,100.0,24,125.0,1.0,1.0,1,0,45.0,227.24405123647392,244.90146385900422
1,100.0,24,125.0,1.0,1.0,0,0,57.58716356459907,302.86325509846256,238.61766516153418
1,100.0,24,150.0,1.0,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,24,150.0,1.0,1.0,4,0,31.0,288.49165935031635,293.5621426431181
1,100.0,24,150.0,1.0,1.0,1,0,48.56112047686718,227.24405123647392,244.90146385900422
1,100.0,24,150.0,1.0,1.0,3,1,52.39143833847992,647.3896035919422,200.03993772800365
1,100.0,24,150.0,1.0,1.0,0,0,72.7660417864871,302.86325509846256,238.61766516153418
1,100.0,24,175.0,1.0,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,24,175.0,1.0,1.0,4,0,31.0,288.49165935031635,293.5621426431181
1,100.0,24,175.0,1.0,1.0,3,1,33.21956534859755,647.3896035919422,200.03993772800365
1,100.0,24,175.0,1.0,1.0,0,0,59.348750821919374,302.86325509846256,238.61766516153418
1,100.0,24,200.0,1.0,1.0,2,1,9.658277163121793,752.98373847104,317.97042008627903
1,100.0,24,200.0,1.0,1.0,4,0,30.790522811501273,288.49165935031635,293.5621426431181
1,100.0,24,200.0,1.0,1.0,3,1,37.72605644959693,647.3896035919422,200.03993772800365
1,100.0,24,200.0,1.0,1.0,0,0,54.938173116351,302.86325509846256,238.61766516153418
1,100.0,24,200.0,1.0,1.0,1,0,82.81906636206888,227.24405123647392,244.90146385900422
2,100.0,24,25.0,1.0,1.0,3,0,12.488646870013682,640.2987218963844,397.18695885141005
2,100.0,24,25.0,1.0,1.0,1,0,21.921881316345516,465.0966412102588,412.80698302554987
2,100.0,24,25.0,1.0,1.0,0,0,45.263609494547694,490.17942943878967,469.46953330775284
2,100.0,24,25.0,1.0,1.0,4,0,47.4001075591983,457.279088541251,482.8093472016839
2,100.0,24,50.0,1.0,1.0,3,0,12.488646870013682,640.2987218963844,397.18695885141005
2,100.0,24,50.0,1.0,1.0,1,0,21.87692763217969,465.0966412102588,412.80698302554987
2,100.0,24,50.0,1.0,1.0,0,0,45.0,490.17942943878967,469.46953330775284
2,100.0,24,50.0,1.0,1.0,2,0,49.96691288310026,577.1259759275304,434.38578517001105
2,100.0,24,50.0,1.0,1.0,4,0,67.29889690626251,457.279088541251,482.8093472016839
2,100.0,24,75.0,1.0,1.0,3,0,12.488646870013682,640.2987218963844,397.18695885141005
2,100.0,24,75.0,1.0,1.0,1,0,21.90963376336482,465.0966412102588,412.80698302554987
2,100.0,24,75.0,1.0,1.0,0,0,45.06419808167949,490.17942943878967,469.46953330775284
2,100.0,24,75.0,1.0,1.0,4,0,47.05776528794333,457.279088541251,482.8093472016839
2,100.0,24,75.0,1.0,1.0,2,0,53.95576340728547,577.1259759275304,434.38578517001105
2,100.0,24,100.0,1.0,1.0,3,0,12.488646870013682,640.2987218963844,397.18695885141005
2,100.0,24,100.0,1.0,1.0,1,0,21.88165570432504,465.0966412102588,412.80698302554987
2,100.0,24,100.0,1.0,1.0,0,0,45.0,490.17942943878967,469.46953330775284
2,100.0,24,100.0,1.0,1.0,4,0,47.0,457.279088541251,482.8093472016839
2,100.0,24,100.0,1.0,1.0,2,0,66.84148503143004,577.1259759275304,434.38578517001105
2,100.0,24,125.0,1.0,1.0,3,0,12.488646870013682,640.2987218963844,397.18695885141005
2,100.0,24,125.0,1.0,1.0,1,0,21.864539323782445,465.0966412102588,412.80698302554987
2,100.0,24,125.0,1.0,1.0,0,0,45.0,490.17942943878967,469.46953330775284
2,100.0,24,125.0,1.0,1.0,4,0,47.0,457.279088541251,482.8093472016839
2,100.0,24,125.0,1.0,1.0,2,1,48.615207760113634,577.1259759275304,434.38578517001105
2,100.0,24,150.0,1.0,1.0,3,0,12.488646870013682,640.2987218963844,397.18695885141005
2,100.0,24,150.0,1.0,1.0,1,0,21.98331092636357,465.0966412102588,412.80698302554987
2,100.0,24,150.0,1.0,1.0,0,0,45.09830667094637,490.17942943878967,469.46953330775284
2,100.0,24,150.0,1.0,1.0,4,0,59.28611107035385,457.279088541251,482.8093472016839
2,100.0,24,150.0,1.0,1.0,2,0,66.0,577.1259759275304,434.38578517001105
2,100.0,24,175.0,1.0,1.0,3,0,12.488646870013682,640.2987218963844,397.18695885141005
2,100.0,24,175.0,1.0,1.0,1,0,21.887869332957475,465.0966412102588,412.80698302554987
2,100.0,24,175.0,1.0,1.0,0,0,45.0,490.17942943878967,469.46953330775284
2,100.0,24,175.0,1.0,1.0,4,0,46.983572793610755,457.279088541251,482.8093472016839
2,100.0,24,175.0,1.0,1.0,2,1,85.15691416063038,577.1259759275304,434.38578517001105
2,100.0,24,200.0,1.0,1.0,3,0,12.488646870013682,640.2987218963844,397.18695885141005
2,100.0,24,200.0,1.0,1.0,1,0,21.91257739970368,465.0966412102588,412.80698302554987
2,100.0,24,200.0,1.0,1.0,0,0,45.05046542873996,490.17942943878967,469.46953330775284
2,100.0,24,200.0,1.0,1.0,4,0,47.307892514182846,457.279088541251,482.8093472016839
2,100.0,24,200.0,1.0,1.0,2,0,54.649583641510304,577.1259759275304,434.38578517001105
3,100.0,24,25.0,1.0,1.0,0,1,15.232399916684118,710.3295314932279,229.4038670366441
3,100.0,24,25.0,1.0,1.0,1,1,24.368677421050286,669.6089824014277,202.6671237091227
3,100.0,24,25.0,1.0,1.0,3,1,26.63201933428622,673.2388973322454,159.5922690956034
3,100.0,24,50.0,1.0,1.0,0,1,15.232399916684118,710.3295314932279,229.4038670366441
3,100.0,24,50.0,1.0,1.0,1,1,28.52428235107478,669.6089824014277,202.6671237091227
3,100.0,24,50.0,1.0,1.0,3,1,30.729818699861273,673.2388973322454,159.5922690956034
3,100.0,24,75.0,1.0,1.0,0,1,15.232399916684118,710.3295314932279,229.4038670366441
3,100.0,24,75.0,1.0,1.0,1,1,26.95208412461138,669.6089824014277,202.6671237091227
3,100.0,24,75.0,1.0,1.0,3,1,44.72216490256897,673.2388973322454,159.5922690956034
3,100.0,24,100.0,1.0,1.0,0,1,15.232399916684118,710.3295314932279,229.4038670366441
3,100.0,24,100.0,1.0,1.0,1,1,24.368677421050286,669.6089824014277,202.6671237091227
3,100.0,24,100.0,1.0,1.0,3,1,26.63201933428622,673.2388973322454,159.5922690956034
3,100.0,24,100.0,1.0,1.0,4,0,77.6842533103267,132.74885263314798,375.411245524934
3,100.0,24,100.0,1.0,1.0,2,0,84.39716817587055,215.91863684970514,463.8297192447227
3,100.0,24,125.0,1.0,1.0,0,1,15.232399916684118,710.3295314932279,229.4038670366441
3,100.0,24,125.0,1.0,1.0,1,1,24.368677421050286,669.6089824014277,202.6671237091227
3,100.0,24,125.0,1.0,1.0,3,1,26.63201933428622,673.2388973322454,159.5922690956034
3,100.0,24,125.0,1.0,1.0,4,0,61.0,132.74885263314798,375.411245524934
3,100.0,24,125.0,1.0,1.0,2,0,92.69707465519465,215.91863684970514,463.8297192447227
3,100.0,24,150.0,1.0,1.0,0,1,15.232399916684118,710.3295314932279,229.4038670366441
3,100.0,24,150.0,1.0,1.0,1,1,24.368677421050286,669.6089824014277,202.6671237091227
3,100.0,24,150.0,1.0,1.0,3,1,26.63201933428622,673.2388973322454,159.5922690956034
3,100.0,24,150.0,1.0,1.0,2,0,89.97441048606565,215.91863684970514,463.8297192447227
3,100.0,24,175.0,1.0,1.0,0,1,15.232399916684118,710.3295314932279,229.4038670366441
3,100.0,24,175.0,1.0,1.0,1,1,24.368677421050286,669.6089824014277,202.6671237091227
3,100.0,24,175.0,1.0,1.0,3,1,26.63201933428622,673.2388973322454,159.5922690956034
3,100.0,24,200.0,1.0,1.0,0,1,15.232399916684118,710.3295314932279,229.4038670366441
3,100.0,24,200.0,1.0,1.0,1,1,24.368677421050286,669.6089824014277,202.6671237091227
