42,100.0,24,80.0,1.0,2.0,true,70.44999999999814,5
42,100.0,24,80.0,1.0,2.0,true,70.44999999999814,5
42,100.0,24,80.0,1.0,2.0,true,70.44999999999814,5
42,100.0,24,80.0,1.0,2.0,true,54.049999999999066,5
23,100.0,24,80.0,1.0,2.0,true,65.74999999999841,5
23,100.0,24,80.0,1.0,2.0,false,NaN,4
23,100.0,24,80.0,1.0,2.0,true,125.799999999995,5
1,100.0,24,80.0,1.0,2.0,true,127.99999999999487,5
35,100.0,24,80.0,1.0,2.0,true,66.69999999999835,5
176,100.0,24,80.0,1.0,2.0,true,97.89999999999658,5
69,100.0,24,80.0,1.0,2.0,true,102.09999999999634,5
5,100.0,24,80.0,1.0,2.0,true,91.49999999999694,5
1,100.0,24,80.0,1.0,2.0,true,73.24999999999798,5
35,100.0,24,80.0,1.0,2.0,false,NaN,3
35,100.0,24,80.0,1.0,2.0,true,156.7500000000014,5
176,100.0,24,80.0,1.0,2.0,true,190.45000000000906,5
69,100.0,24,80.0,1.0,2.0,true,88.7999999999971,5
5,100.0,24,80.0,1.0,2.0,true,100.62032442892198,5
42,100.0,24,80.0,1.0,2.0,true,70.44999999999814,5
47,100.0,24,80.0,1.0,2.0,false,NaN,2
47,100.0,24,80.0,1.0,2.0,true,181.8000000000071,5
47,100.0,24,80.0,1.0,2.0,true,181.8000000000071,5
42,100.0,24,80.0,1.0,2.0,true,70.44999999999814,5
42,100.0,24,80.0,1.0,2.0,true,54.049999999999066,5
39,100.0,24,80.0,1.0,2.0,true,54.09999999999906,5
42,100.0,24,80.0,1.0,2.0,true,70.44999999999814,5
47,100.0,24,80.0,1.0,2.0,false,NaN,3
47,100.0,24,80.0,1.0,2.0,true,172.30000000000493,5
42,100.0,24,80.0,1.0,2.0,true,44.44999999999961,5
42,100.0,24,80.0,1.0,2.0,true,44.44999999999961,5
42,100.0,24,80.0,1.0,2.0,true,44.44999999999961,5
42,100.0,24,80.0,1.0,2.0,true,44.44999999999961,5
42,100.0,24,80.0,1.0,2.0,false,NaN,3
42,100.0,24,80.0,1.0,2.0,true,49.09999999999935,5
42,100.0,24,80.0,1.0,2.0,false,NaN,3
42,100.0,24,80.0,1.0,2.0,false,NaN,3
42,100.0,24,80.0,1.0,2.0,false,NaN,0
42,100.0,24,80.0,1.0,2.0,false,NaN,2
42,100.0,24,80.0,1.0,2.0,false,NaN,2
42,100.0,24,80.0,1.0,2.0,false,NaN,2
42,100.0,24,80.0,1.0,2.0,false,NaN,1
42,100.0,24,80.0,1.0,2.0,false,NaN,3
42,100.0,24,80.0,1.0,2.0,true,71.19244728223335,5
42,100.0,24,80.0,1.0,2.0,true,71.19244728223335,5
42,100.0,24,80.0,1.0,2.0,true,71.19244728223335,5
42,100.0,24,80.0,1.0,2.0,true,71.19244728223335,5
42,100.0,24,80.0,1.0,2.0,true,71.19244728223335,5
42,100.0,24,80.0,1.0,2.0,true,71.19244728223335,5
42,100.0,24,80.0,1.0,2.0,true,68.47341153849354,5
42,100.0,24,80.0,1.0,2.0,true,68.47341153849354,5
42,100.0,24,80.0,1.0,2.0,true,68.47341153849354,5
42,100.0,24,80.0,1.0,2.0,true,68.47341153849354,5
42,100.0,24,80.0,1.0,2.0,true,68.47341153849354,5
